mouse_ensembl_gene,times_equal_or_more_extreme,p,mouse_symbol,q,aPD1_H_21,aPD1_S_69,aPD1_90,untreated_H_79,untreated_S_27,untreated_106
ENSMUSG00000000275,665126,0.6651263348736651,Trim25,1.0,0,0,0,2,0,2
ENSMUSG00000000276,1000000,1.0,Dgke,1.0,0,0,0,0,0,0
ENSMUSG00000000278,1000000,1.0,Scpep1,1.0,0,0,0,0,0,0
ENSMUSG00000000282,1000000,1.0,Mnt,1.0,0,0,0,0,0,0
ENSMUSG00000000290,1000000,1.0,Itgb2,1.0,0,0,0,0,0,0
ENSMUSG00000000295,1000000,1.0,Hddc2,1.0,0,0,0,0,0,0
ENSMUSG00000000296,1000000,1.0,Tpd52l1,1.0,0,1,1,1,0,1
ENSMUSG00000000301,718537,0.7185372814627186,Pemt,1.0,0,1,1,0,0,0
ENSMUSG00000000303,718763,0.7187632812367187,Cdh1,1.0,0,1,1,0,0,0
ENSMUSG00000000305,1000000,1.0,Cdh4,1.0,0,0,0,0,0,0
ENSMUSG00000000308,1000000,1.0,Ckmt1,1.0,0,0,0,0,0,0
ENSMUSG00000000317,1000000,1.0,Bcl6b,1.0,0,0,0,0,0,0
ENSMUSG00000000318,1000000,1.0,Clec10a,1.0,0,0,0,0,0,0
ENSMUSG00000000320,1000000,1.0,Alox12,1.0,0,0,0,0,0,0
ENSMUSG00000000325,1000000,1.0,Arvcf,1.0,0,0,0,0,0,0
ENSMUSG00000000326,1000000,1.0,Comt,1.0,0,0,0,0,0,0
ENSMUSG00000000339,1000000,1.0,Rtca,1.0,0,0,0,0,0,0
ENSMUSG00000000340,718444,0.7184442815557185,Dbt,1.0,0,1,1,0,0,0
ENSMUSG00000000346,1000000,1.0,Dazap2,1.0,0,0,0,0,0,0
ENSMUSG00000000355,1000000,1.0,Mcts1,1.0,0,0,0,0,0,0
ENSMUSG00000000359,1000000,1.0,Rem1,1.0,0,0,0,0,0,0
ENSMUSG00000000365,1000000,1.0,Rnf17,1.0,0,0,0,0,0,0
ENSMUSG00000000374,718763,0.7187632812367187,Trappc10,1.0,0,1,1,0,0,0
ENSMUSG00000000378,1000000,1.0,Ccm2,1.0,0,0,0,0,0,0
ENSMUSG00000000384,1000000,1.0,Tbrg4,1.0,0,0,0,0,0,0
ENSMUSG00000000385,1000000,1.0,Tmprss2,1.0,0,0,0,0,0,0
ENSMUSG00000000392,719160,0.7191602808397192,Fap,1.0,0,1,1,0,0,0
ENSMUSG00000000394,1000000,1.0,Gcg,1.0,0,0,0,0,0,0
ENSMUSG00000000399,1000000,1.0,Ndufa9,1.0,0,0,0,0,0,0
ENSMUSG00000000402,1000000,1.0,Egfl6,1.0,0,0,0,0,0,0
ENSMUSG00000000409,1000000,1.0,Lck,1.0,0,0,0,0,0,0
ENSMUSG00000000411,1000000,1.0,Tssk3,1.0,0,0,0,0,0,0
ENSMUSG00000000416,373764,0.37376462623537376,Cttnbp2,1.0,0,0,0,1,1,2
ENSMUSG00000000420,1000000,1.0,Galnt1,1.0,0,0,0,0,0,0
ENSMUSG00000000435,1000000,1.0,Myf5,1.0,0,0,0,0,0,0
ENSMUSG00000000439,1000000,1.0,Mkrn2,1.0,0,0,0,0,0,0
ENSMUSG00000000440,718352,0.7183522816477184,Pparg,1.0,0,1,1,0,0,0
ENSMUSG00000000441,372733,0.3727336272663727,Raf1,1.0,0,0,0,1,1,2
ENSMUSG00000000486,1000000,1.0,Sept1,1.0,0,0,0,0,0,0
ENSMUSG00000000489,1000000,1.0,Pdgfb,1.0,0,0,0,0,0,0
ENSMUSG00000000530,1000000,1.0,Acvrl1,1.0,0,0,0,0,0,0
ENSMUSG00000000531,1000000,1.0,Grasp,1.0,0,0,0,0,0,0
ENSMUSG00000000532,1000000,1.0,Acvr1b,1.0,0,0,0,0,0,0
ENSMUSG00000000538,1000000,1.0,Tom1l2,1.0,0,0,0,0,0,0
ENSMUSG00000000544,1000000,1.0,Gpa33,1.0,0,0,0,0,0,0
ENSMUSG00000000552,1000000,1.0,Zfp385a,1.0,0,0,0,0,0,0
ENSMUSG00000000555,1000000,1.0,Itga5,1.0,0,0,0,0,0,0
ENSMUSG00000000560,718484,0.7184842815157185,Gabra2,1.0,0,1,1,0,0,0
ENSMUSG00000000561,1000000,1.0,Wdr77,1.0,0,0,0,0,0,0
ENSMUSG00000000563,1000000,1.0,Atp5f1,1.0,0,0,0,0,0,0
ENSMUSG00000000567,1000000,1.0,Sox9,1.0,0,0,0,0,0,0
ENSMUSG00000000568,1000000,1.0,Hnrnpd,1.0,0,0,0,0,0,0
ENSMUSG00000000581,1000000,1.0,C1d,1.0,0,0,0,0,0,0
ENSMUSG00000000594,1000000,1.0,Gm2a,1.0,0,0,0,0,0,0
ENSMUSG00000000600,1000000,1.0,Krit1,1.0,0,0,0,1,0,1
ENSMUSG00000000605,1000000,1.0,Clcn4,1.0,0,0,0,0,0,0
ENSMUSG00000000617,1000000,1.0,Grm6,1.0,0,0,0,0,0,0
ENSMUSG00000000627,1000000,1.0,Sema4f,1.0,0,0,0,0,0,0
ENSMUSG00000000628,1000000,1.0,Hk2,1.0,0,0,0,0,0,0
ENSMUSG00000000631,1000000,1.0,Myo18a,1.0,0,0,0,0,0,0
ENSMUSG00000000632,1000000,1.0,Sez6,1.0,0,0,0,0,0,0
ENSMUSG00000000673,1000000,1.0,Haao,1.0,0,0,0,0,0,0
ENSMUSG00000000682,1000000,1.0,Cd52,1.0,0,0,0,0,0,0
ENSMUSG00000000686,1000000,1.0,Abhd15,1.0,0,0,0,0,0,0
ENSMUSG00000000690,1000000,1.0,Hoxb6,1.0,0,0,0,0,0,0
ENSMUSG00000000693,1000000,1.0,Loxl3,1.0,0,0,0,0,0,0
ENSMUSG00000000706,1000000,1.0,Btn1a1,1.0,0,0,0,0,0,0
ENSMUSG00000000708,719291,0.7192912807087193,Kat2b,1.0,0,1,1,0,0,0
ENSMUSG00000000711,1000000,1.0,Rab5b,1.0,0,0,0,0,0,0
ENSMUSG00000000724,1000000,1.0,Cryba1,1.0,0,0,0,0,0,0
ENSMUSG00000000730,1000000,1.0,Dnmt3l,1.0,0,0,0,0,0,0
ENSMUSG00000000731,1000000,1.0,Aire,1.0,0,0,0,0,0,0
ENSMUSG00000000732,1000000,1.0,Icosl,1.0,0,0,0,0,0,0
ENSMUSG00000000738,1000000,1.0,Spg7,1.0,0,0,0,0,0,0
ENSMUSG00000000740,1000000,1.0,Rpl13,1.0,0,0,0,0,0,0
ENSMUSG00000000743,1000000,1.0,Chmp1a,1.0,0,0,0,0,0,0
ENSMUSG00000000751,150488,0.1504888495111505,Rpa1,1.0,1,1,2,0,0,0
ENSMUSG00000000753,1000000,1.0,Serpinf1,1.0,0,0,0,0,0,0
ENSMUSG00000000759,1000000,1.0,Tubgcp3,1.0,0,0,0,0,0,0
ENSMUSG00000000766,1000000,1.0,Oprm1,1.0,0,0,0,0,0,0
ENSMUSG00000000776,1000000,1.0,Polr3d,1.0,0,0,0,0,0,0
ENSMUSG00000000782,1000000,1.0,Tcf7,1.0,0,0,0,0,0,0
ENSMUSG00000000787,1000000,1.0,Ddx3x,1.0,0,0,0,1,0,1
ENSMUSG00000000791,1000000,1.0,Il12rb1,1.0,0,0,0,0,0,0
ENSMUSG00000000792,1000000,1.0,Slc5a5,1.0,0,0,0,0,0,0
ENSMUSG00000000794,1000000,1.0,Kcnn3,1.0,0,0,0,0,0,0
ENSMUSG00000000804,1000000,1.0,Usp32,1.0,0,0,0,0,0,0
ENSMUSG00000000805,1000000,1.0,Car4,1.0,0,0,0,0,0,0
ENSMUSG00000000811,1000000,1.0,Txnrd3,1.0,0,0,0,0,0,0
ENSMUSG00000000817,1000000,1.0,Fasl,1.0,0,0,0,0,0,0
ENSMUSG00000000823,1000000,1.0,Zfp512b,1.0,0,0,0,0,0,0
ENSMUSG00000000826,1000000,1.0,Dnajc5,1.0,0,0,0,0,0,0
ENSMUSG00000000827,1000000,1.0,Tpd52l2,1.0,0,0,0,0,0,0
ENSMUSG00000000838,718670,0.7186702813297187,Fmr1,1.0,0,1,1,0,0,0
ENSMUSG00000000861,718145,0.7181452818547182,Bcl11a,1.0,0,1,1,0,0,0
ENSMUSG00000000869,1000000,1.0,Il4,1.0,0,0,0,0,0,0
ENSMUSG00000000876,1000000,1.0,Pxmp4,1.0,0,0,0,0,0,0
ENSMUSG00000000881,1000000,1.0,Dlg3,1.0,0,0,0,1,0,1
ENSMUSG00000000884,664779,0.6647793352206648,Gnb1l,1.0,0,0,0,2,0,2
ENSMUSG00000000889,1000000,1.0,Dbh,1.0,0,0,0,0,0,0
ENSMUSG00000000901,1000000,1.0,Mmp11,1.0,0,0,0,0,0,0
ENSMUSG00000000902,1000000,1.0,Smarcb1,1.0,0,0,0,0,1,1
ENSMUSG00000000903,1000000,1.0,Vpreb3,1.0,0,0,0,0,0,0
ENSMUSG00000000915,1000000,1.0,Hip1r,1.0,0,0,0,0,0,0
ENSMUSG00000000916,1000000,1.0,Nsun5,1.0,0,0,0,0,0,0
ENSMUSG00000000934,1000000,1.0,Top1mt,1.0,0,0,0,0,0,0
ENSMUSG00000000938,1000000,1.0,Hoxa10,1.0,0,0,0,0,0,0
ENSMUSG00000000942,1000000,1.0,Hoxa4,1.0,0,0,0,0,0,0
ENSMUSG00000000957,1000000,1.0,Mmp14,1.0,0,0,0,0,0,0
ENSMUSG00000000958,1000000,1.0,Slc7a7,1.0,0,0,0,0,0,0
ENSMUSG00000000959,1000000,1.0,Oxa1l,1.0,0,0,0,0,0,0
ENSMUSG00000000976,1000000,1.0,Heatr6,1.0,0,0,0,1,0,1
ENSMUSG00000000982,1000000,1.0,Ccl3,1.0,0,0,0,0,0,0
ENSMUSG00000001014,1000000,1.0,Icam4,1.0,0,0,0,0,0,0
ENSMUSG00000001016,1000000,1.0,Ilf2,1.0,0,0,0,0,0,0
ENSMUSG00000001017,1000000,1.0,Chtop,1.0,0,0,0,0,0,0
ENSMUSG00000001018,1000000,1.0,Snapin,1.0,0,0,0,0,0,0
ENSMUSG00000001020,1000000,1.0,S100a4,1.0,0,0,0,0,0,0
ENSMUSG00000001021,1000000,1.0,S100a3,1.0,0,0,0,0,0,0
ENSMUSG00000001023,1000000,1.0,S100a5,1.0,0,0,0,0,0,0
ENSMUSG00000001025,1000000,1.0,S100a6,1.0,0,0,0,0,0,0
ENSMUSG00000001027,1000000,1.0,Scn4a,1.0,0,0,0,0,0,0
ENSMUSG00000001029,1000000,1.0,Icam2,1.0,0,0,0,0,0,0
ENSMUSG00000001034,1000000,1.0,Mapk7,1.0,0,0,0,0,0,0
ENSMUSG00000001036,1000000,1.0,Epn2,1.0,0,0,0,0,0,0
ENSMUSG00000001039,1000000,1.0,B9d1,1.0,0,0,0,0,0,0
ENSMUSG00000001052,1000000,1.0,Sec24b,1.0,0,0,0,1,0,1
ENSMUSG00000001053,1000000,1.0,N4bp3,1.0,0,0,0,0,0,0
ENSMUSG00000001054,1000000,1.0,Rmnd5b,1.0,0,0,0,0,0,0
ENSMUSG00000001056,1000000,1.0,Nhp2,1.0,0,0,0,0,0,0
ENSMUSG00000001062,1000000,1.0,Vps9d1,1.0,0,0,0,0,0,0
ENSMUSG00000001065,1000000,1.0,Zfp276,1.0,0,0,0,0,0,0
ENSMUSG00000001076,1000000,1.0,C1ql4,1.0,0,0,0,0,0,0
ENSMUSG00000001082,1000000,1.0,Mfsd10,1.0,0,0,0,0,0,0
ENSMUSG00000001089,1000000,1.0,Luzp1,1.0,0,0,0,0,0,0
ENSMUSG00000001095,1000000,1.0,Slc13a2,1.0,0,0,0,0,0,0
ENSMUSG00000001098,1000000,1.0,Kctd10,1.0,0,0,0,0,0,0
ENSMUSG00000001100,1000000,1.0,Poldip2,1.0,0,0,0,0,0,0
ENSMUSG00000001103,1000000,1.0,Sebox,1.0,0,0,0,0,0,0
ENSMUSG00000001105,1000000,1.0,Ift20,1.0,0,0,0,0,0,0
ENSMUSG00000001119,1000000,1.0,Col6a1,1.0,0,0,0,0,0,0
ENSMUSG00000001120,830041,0.83004116995883,Pcbp3,1.0,0,2,2,0,1,1
ENSMUSG00000001123,1000000,1.0,Lgals9,1.0,0,0,0,0,0,0
ENSMUSG00000001127,1000000,1.0,Araf,1.0,0,0,0,0,0,0
ENSMUSG00000001128,1000000,1.0,Cfp,1.0,0,0,0,0,0,0
ENSMUSG00000001131,1000000,1.0,Timp1,1.0,0,0,0,0,0,0
ENSMUSG00000001134,1000000,1.0,Uxt,1.0,0,0,0,0,0,0
ENSMUSG00000001138,1000000,1.0,Cnnm3,1.0,0,0,0,0,0,0
ENSMUSG00000001143,1000000,1.0,Lman2l,1.0,0,0,0,0,0,0
ENSMUSG00000001150,1000000,1.0,Mcm3ap,1.0,0,0,0,0,0,0
ENSMUSG00000001151,718444,0.7184442815557185,Pcnt,1.0,0,1,1,0,0,0
ENSMUSG00000001155,1000000,1.0,Ftcd,1.0,0,0,0,0,0,0
ENSMUSG00000001156,1000000,1.0,Mxd1,1.0,0,0,0,0,0,0
ENSMUSG00000001157,1000000,1.0,Gmcl1,1.0,0,0,0,0,0,0
ENSMUSG00000001158,1000000,1.0,Snrnp27,1.0,0,0,0,0,0,0
ENSMUSG00000001173,1000000,1.0,Ocrl,1.0,0,1,1,0,1,1
ENSMUSG00000001175,1000000,1.0,Calm1,1.0,0,0,0,0,0,0
ENSMUSG00000001211,718825,0.7188252811747188,Agpat3,1.0,0,1,1,0,0,0
ENSMUSG00000001225,1000000,1.0,Slc26a3,1.0,0,0,0,1,0,1
ENSMUSG00000001227,1000000,1.0,Sema6b,1.0,0,0,0,0,0,0
ENSMUSG00000001228,1000000,1.0,Uhrf1,1.0,0,0,0,0,0,0
ENSMUSG00000001229,1000000,1.0,Dpp9,1.0,0,0,0,0,0,0
ENSMUSG00000001240,1000000,1.0,Ramp2,1.0,0,0,0,0,0,0
ENSMUSG00000001247,1000000,1.0,Lsr,1.0,0,0,0,0,0,0
ENSMUSG00000001248,1000000,1.0,Gramd1a,1.0,0,0,0,0,0,0
ENSMUSG00000001249,1000000,1.0,Hpn,1.0,0,0,0,0,0,0
ENSMUSG00000001260,210158,0.21015878984121017,Gabrg1,1.0,1,0,1,0,0,0
ENSMUSG00000001270,1000000,1.0,Ckb,1.0,0,0,0,0,0,0
ENSMUSG00000001280,1000000,1.0,Sp1,1.0,0,0,0,0,0,0
ENSMUSG00000001281,1000000,1.0,Itgb7,1.0,0,0,0,0,0,0
ENSMUSG00000001285,1000000,1.0,Myg1,1.0,0,0,0,0,0,0
ENSMUSG00000001288,1000000,1.0,Rarg,1.0,0,0,0,0,0,0
ENSMUSG00000001289,1000000,1.0,Pfdn5,1.0,0,0,0,0,0,0
ENSMUSG00000001300,1000000,1.0,Efnb2,1.0,0,0,0,0,0,0
ENSMUSG00000001305,1000000,1.0,Rrp15,1.0,0,0,0,0,0,0
ENSMUSG00000001313,1000000,1.0,Rnd2,1.0,0,0,0,0,0,0
ENSMUSG00000001323,1000000,1.0,Srr,1.0,0,0,0,0,0,0
ENSMUSG00000001333,1000000,1.0,Sync,1.0,0,0,0,0,0,0
ENSMUSG00000001334,1000000,1.0,Fndc5,1.0,0,0,0,0,0,0
ENSMUSG00000001348,1000000,1.0,Acp5,1.0,0,0,0,0,0,0
ENSMUSG00000001349,1000000,1.0,Cnn1,1.0,0,0,0,0,0,0
ENSMUSG00000001366,1000000,1.0,Fbxo9,1.0,0,0,0,0,0,0
ENSMUSG00000001376,1000000,1.0,Vps50,1.0,0,0,0,0,0,0
ENSMUSG00000001380,1000000,1.0,Hars,1.0,0,0,0,0,0,0
ENSMUSG00000001383,1000000,1.0,Zmat2,1.0,0,0,0,0,0,0
ENSMUSG00000001403,1000000,1.0,Ube2c,1.0,0,0,0,0,0,0
ENSMUSG00000001415,718655,0.7186552813447187,Smg5,1.0,0,1,1,0,0,0
ENSMUSG00000001416,1000000,1.0,Cct3,1.0,0,0,0,0,0,0
ENSMUSG00000001418,1000000,1.0,Glmp,1.0,0,0,0,0,0,0
ENSMUSG00000001419,1000000,1.0,Mef2d,1.0,0,0,0,0,0,0
ENSMUSG00000001420,1000000,1.0,Tmem79,1.0,0,0,0,0,0,0
ENSMUSG00000001424,77441,0.07744192255807744,Snd1,1.0,1,3,4,0,0,0
ENSMUSG00000001435,1000000,1.0,Col18a1,1.0,0,0,0,0,0,0
ENSMUSG00000001436,1000000,1.0,Slc19a1,1.0,0,0,0,0,0,0
ENSMUSG00000001440,1000000,1.0,Kpnb1,1.0,0,0,0,0,0,0
ENSMUSG00000001441,1000000,1.0,Npepps,1.0,0,0,0,0,0,0
ENSMUSG00000001444,1000000,1.0,Tbx21,1.0,0,0,0,0,0,0
ENSMUSG00000001445,1000000,1.0,Mrpl10,1.0,0,0,0,1,0,1
ENSMUSG00000001467,1000000,1.0,Cyp51,1.0,0,0,0,0,0,0
ENSMUSG00000001472,1000000,1.0,Tcf25,1.0,0,0,0,0,0,0
ENSMUSG00000001473,1000000,1.0,Tubb6,1.0,0,0,0,0,0,0
ENSMUSG00000001482,1000000,1.0,Def8,1.0,0,0,0,0,0,0
ENSMUSG00000001493,1000000,1.0,Meox1,1.0,0,0,0,0,0,0
ENSMUSG00000001494,1000000,1.0,Sost,1.0,0,0,0,0,0,0
ENSMUSG00000001496,1000000,1.0,Nkx2-1,1.0,0,0,0,0,0,0
ENSMUSG00000001497,1000000,1.0,Pax9,1.0,0,0,0,0,0,0
ENSMUSG00000001504,1000000,1.0,Irx2,1.0,0,0,0,0,0,0
ENSMUSG00000001506,1000000,1.0,Col1a1,1.0,0,0,0,0,0,0
ENSMUSG00000001507,1000000,1.0,Itga3,1.0,0,0,0,0,0,0
ENSMUSG00000001508,1000000,1.0,Sgca,1.0,0,0,0,0,0,0
ENSMUSG00000001510,1000000,1.0,Dlx3,1.0,0,0,0,0,0,0
ENSMUSG00000001517,1000000,1.0,Foxm1,1.0,0,0,0,0,0,0
ENSMUSG00000001518,1000000,1.0,Itfg2,1.0,0,0,0,0,0,0
ENSMUSG00000001520,1000000,1.0,Nrip2,1.0,0,0,0,0,0,0
ENSMUSG00000001521,1000000,1.0,Tulp3,1.0,0,0,0,1,0,1
ENSMUSG00000001524,1000000,1.0,Gtf2h4,1.0,0,0,0,0,0,0
ENSMUSG00000001525,1000000,1.0,Tubb5,1.0,0,0,0,0,0,0
ENSMUSG00000001542,1000000,1.0,Ell2,1.0,0,0,0,0,0,0
ENSMUSG00000001552,1000000,1.0,Jup,1.0,0,0,0,0,0,0
ENSMUSG00000001555,1000000,1.0,Fkbp10,1.0,0,0,0,0,0,0
ENSMUSG00000001558,1000000,1.0,Klhl10,1.0,0,0,0,0,0,0
ENSMUSG00000001566,1000000,1.0,Mnx1,1.0,0,0,0,0,0,0
ENSMUSG00000001569,1000000,1.0,Nom1,1.0,0,0,0,0,0,0
ENSMUSG00000001576,1000000,1.0,Ergic1,1.0,0,0,0,0,0,0
ENSMUSG00000001583,1000000,1.0,Tnk1,1.0,0,0,0,0,0,0
ENSMUSG00000001588,1000000,1.0,Acap1,1.0,0,0,0,0,0,0
ENSMUSG00000001604,1000000,1.0,Tcea3,1.0,0,0,0,0,0,0
ENSMUSG00000001622,1000000,1.0,Csn3,1.0,0,0,0,0,0,0
ENSMUSG00000001627,1000000,1.0,Ifrd1,1.0,0,0,0,0,0,0
ENSMUSG00000001630,1000000,1.0,Stk38l,1.0,0,0,0,0,0,0
ENSMUSG00000001632,1000000,1.0,Brpf1,1.0,0,0,0,0,0,0
ENSMUSG00000001642,1000000,1.0,Akr1b3,1.0,0,0,0,0,0,0
ENSMUSG00000001655,1000000,1.0,Hoxc13,1.0,0,0,0,0,0,0
ENSMUSG00000001656,1000000,1.0,Hoxc11,1.0,0,0,0,0,0,0
ENSMUSG00000001657,1000000,1.0,Hoxc8,1.0,0,0,0,0,0,0
ENSMUSG00000001661,1000000,1.0,Hoxc6,1.0,0,0,0,0,0,0
ENSMUSG00000001666,1000000,1.0,Ddt,1.0,0,0,0,0,0,0
ENSMUSG00000001670,1000000,1.0,Tat,1.0,0,0,0,0,0,0
ENSMUSG00000001672,1000000,1.0,Marveld3,1.0,0,0,0,0,0,0
ENSMUSG00000001674,1000000,1.0,Ddx18,1.0,0,0,0,0,0,0
ENSMUSG00000001687,1000000,1.0,Ubl3,1.0,0,0,0,0,0,0
ENSMUSG00000001700,1000000,1.0,Gramd3,1.0,0,0,0,0,0,0
ENSMUSG00000001707,1000000,1.0,Eef1e1,1.0,0,0,0,0,0,0
ENSMUSG00000001729,1000000,1.0,Akt1,1.0,0,0,0,0,0,0
ENSMUSG00000001739,1000000,1.0,Cldn15,1.0,0,0,0,0,0,0
ENSMUSG00000001741,1000000,1.0,Il16,1.0,0,0,0,0,0,0
ENSMUSG00000001750,1000000,1.0,Tcirg1,1.0,0,0,0,0,0,0
ENSMUSG00000001751,1000000,1.0,Naglu,1.0,0,0,0,0,0,0
ENSMUSG00000001755,1000000,1.0,Coasy,1.0,0,0,0,0,0,0
ENSMUSG00000001761,1000000,1.0,Smo,1.0,0,0,0,0,0,0
ENSMUSG00000001763,1000000,1.0,Tspan33,1.0,0,0,0,0,0,0
ENSMUSG00000001767,1000000,1.0,Crnkl1,1.0,0,0,0,0,0,0
ENSMUSG00000001768,1000000,1.0,Rin2,1.0,0,0,0,1,0,1
ENSMUSG00000001773,1000000,1.0,Folh1,1.0,0,0,0,1,0,1
ENSMUSG00000001774,1000000,1.0,Chordc1,1.0,0,0,0,0,0,0
ENSMUSG00000001783,1000000,1.0,Rtcb,1.0,0,0,0,0,0,0
ENSMUSG00000001785,514187,0.5141874858125142,Pwp1,1.0,0,2,2,0,0,0
ENSMUSG00000001786,718652,0.7186522813477186,Fbxo7,1.0,0,1,1,0,0,0
ENSMUSG00000001794,1000000,1.0,Capns1,1.0,0,0,0,0,0,0
ENSMUSG00000001802,1000000,1.0,Lrp3,1.0,0,0,0,0,0,0
ENSMUSG00000001804,718852,0.7188522811477188,Dsg4,1.0,0,1,1,0,0,0
ENSMUSG00000001815,1000000,1.0,Evx2,1.0,0,0,0,0,0,0
ENSMUSG00000001819,1000000,1.0,Hoxd13,1.0,0,0,0,0,0,0
ENSMUSG00000001823,1000000,1.0,Hoxd12,1.0,0,0,0,0,0,0
ENSMUSG00000001827,1000000,1.0,Folr1,1.0,0,0,0,1,0,1
ENSMUSG00000001829,718351,0.7183512816487183,Clpb,1.0,0,1,1,0,0,0
ENSMUSG00000001833,1000000,1.0,Sept7,1.0,0,0,0,0,1,1
ENSMUSG00000001844,1000000,1.0,Zdhhc4,1.0,0,0,0,0,0,0
ENSMUSG00000001847,1000000,1.0,Rac1,1.0,0,0,0,0,0,0
ENSMUSG00000001855,1000000,1.0,Nup214,1.0,0,0,0,0,0,0
ENSMUSG00000001864,1000000,1.0,Aif1l,1.0,0,0,0,0,0,0
ENSMUSG00000001865,1000000,1.0,Cpa3,1.0,0,0,0,0,0,0
ENSMUSG00000001870,515004,0.515004484995515,Ltbp1,1.0,0,2,2,0,0,0
ENSMUSG00000001891,1000000,1.0,Ugp2,1.0,0,0,0,0,0,0
ENSMUSG00000001901,1000000,1.0,Kcnh6,1.0,0,0,0,0,0,0
ENSMUSG00000001909,1000000,1.0,Trmt1,1.0,0,0,0,0,0,0
ENSMUSG00000001910,1000000,1.0,Nacc1,1.0,0,0,0,0,0,0
ENSMUSG00000001911,591174,0.5911744088255911,Nfix,1.0,0,0,0,0,2,2
ENSMUSG00000001918,1000000,1.0,Slc1a5,1.0,0,0,0,1,0,1
ENSMUSG00000001924,1000000,1.0,Uba1,1.0,0,0,0,0,0,0
ENSMUSG00000001930,514629,0.5146294853705147,Vwf,1.0,0,2,2,0,0,0
ENSMUSG00000001942,718552,0.7185522814477185,Siae,1.0,0,1,1,0,0,0
ENSMUSG00000001943,1000000,1.0,Vsig2,1.0,0,0,0,0,0,0
ENSMUSG00000001946,1000000,1.0,Esam,1.0,0,0,0,0,0,0
ENSMUSG00000001948,1000000,1.0,Spa17,1.0,0,0,0,0,0,0
ENSMUSG00000001962,1000000,1.0,Fam50a,1.0,0,0,0,0,0,0
ENSMUSG00000001964,1000000,1.0,Emd,1.0,0,0,0,0,0,0
