human_ensembl_gene,mouse_ensembl_gene,human_symbol,mouse_symbol,database_support
ENSG00000175662,ENSMUSG00000000538,TOM1L2,Tom1l2,12.0
ENSG00000143167,ENSMUSG00000000544,GPA33,Gpa33,11.0
ENSG00000161642,ENSMUSG00000000552,ZNF385A,Zfp385a,10.0
ENSG00000161638,ENSMUSG00000000555,ITGA5,Itga5,11.0
ENSG00000151834,ENSMUSG00000000560,GABRA2,Gabra2,12.0
ENSG00000116455,ENSMUSG00000000561,WDR77,Wdr77,11.0
ENSG00000116459,ENSMUSG00000000563,ATP5F1,Atp5f1,12.0
ENSG00000125398,ENSMUSG00000000567,SOX9,Sox9,10.0
ENSG00000138668,ENSMUSG00000000568,HNRNPD,Hnrnpd,12.0
ENSG00000197223,ENSMUSG00000000581,C1D,C1d,12.0
ENSG00000196743,ENSMUSG00000000594,GM2A,Gm2a,12.0
ENSG00000001631,ENSMUSG00000000600,KRIT1,Krit1,12.0
ENSG00000073464,ENSMUSG00000000605,CLCN4,Clcn4,11.0
ENSG00000113262,ENSMUSG00000000617,GRM6,Grm6,11.0
ENSG00000135622,ENSMUSG00000000627,SEMA4F,Sema4f,11.0
ENSG00000159399,ENSMUSG00000000628,HK2,Hk2,12.0
ENSG00000196535,ENSMUSG00000000631,MYO18A,Myo18a,11.0
ENSG00000063015,ENSMUSG00000000632,SEZ6,Sez6,11.0
ENSG00000162882,ENSMUSG00000000673,HAAO,Haao,12.0
ENSG00000169442,ENSMUSG00000000682,CD52,Cd52,5.0
ENSG00000168792,ENSMUSG00000000686,ABHD15,Abhd15,11.0
ENSG00000108511,ENSMUSG00000000690,HOXB6,Hoxb6,12.0
ENSG00000115318,ENSMUSG00000000693,LOXL3,Loxl3,11.0
ENSG00000124557,ENSMUSG00000000706,BTN1A1,Btn1a1,11.0
ENSG00000114166,ENSMUSG00000000708,KAT2B,Kat2b,11.0
ENSG00000111540,ENSMUSG00000000711,RAB5B,Rab5b,12.0
ENSG00000108255,ENSMUSG00000000724,CRYBA1,Cryba1,12.0
ENSG00000142182,ENSMUSG00000000730,DNMT3L,Dnmt3l,12.0
ENSG00000160224,ENSMUSG00000000731,AIRE,Aire,12.0
ENSG00000160223,ENSMUSG00000000732,ICOSLG,Icosl,10.0
ENSG00000197912,ENSMUSG00000000738,SPG7,Spg7,12.0
ENSG00000167526,ENSMUSG00000000740,RPL13,Rpl13,12.0
ENSG00000131165,ENSMUSG00000000743,CHMP1A,Chmp1a,10.0
ENSG00000132383,ENSMUSG00000000751,RPA1,Rpa1,12.0
ENSG00000132386,ENSMUSG00000000753,SERPINF1,Serpinf1,12.0
ENSG00000126216,ENSMUSG00000000759,TUBGCP3,Tubgcp3,12.0
ENSG00000112038,ENSMUSG00000000766,OPRM1,Oprm1,10.0
ENSG00000168495,ENSMUSG00000000776,POLR3D,Polr3d,10.0
ENSG00000081059,ENSMUSG00000000782,TCF7,Tcf7,9.0
ENSG00000215301,ENSMUSG00000000787,DDX3X,Ddx3x,11.0
ENSG00000096996,ENSMUSG00000000791,IL12RB1,Il12rb1,10.0
ENSG00000105641,ENSMUSG00000000792,SLC5A5,Slc5a5,11.0
ENSG00000143603,ENSMUSG00000000794,KCNN3,Kcnn3,12.0
ENSG00000170832,ENSMUSG00000000804,USP32,Usp32,12.0
ENSG00000167434,ENSMUSG00000000805,CA4,Car4,11.0
ENSG00000197763,ENSMUSG00000000811,TXNRD3,Txnrd3,10.0
ENSG00000117560,ENSMUSG00000000817,FASLG,Fasl,12.0
ENSG00000196700,ENSMUSG00000000823,ZNF512B,Zfp512b,9.0
ENSG00000101152,ENSMUSG00000000826,DNAJC5,Dnajc5,11.0
ENSG00000101150,ENSMUSG00000000827,TPD52L2,Tpd52l2,12.0
ENSG00000102081,ENSMUSG00000000838,FMR1,Fmr1,11.0
ENSG00000119866,ENSMUSG00000000861,BCL11A,Bcl11a,12.0
ENSG00000113520,ENSMUSG00000000869,IL4,Il4,12.0
ENSG00000101417,ENSMUSG00000000876,PXMP4,Pxmp4,12.0
ENSG00000082458,ENSMUSG00000000881,DLG3,Dlg3,12.0
ENSG00000185838,ENSMUSG00000000884,GNB1L,Gnb1l,10.0
ENSG00000123454,ENSMUSG00000000889,DBH,Dbh,12.0
ENSG00000099953,ENSMUSG00000000901,MMP11,Mmp11,12.0
ENSG00000099956,ENSMUSG00000000902,SMARCB1,Smarcb1,12.0
ENSG00000128218,ENSMUSG00000000903,VPREB3,Vpreb3,11.0
ENSG00000130787,ENSMUSG00000000915,HIP1R,Hip1r,11.0
ENSG00000130305,ENSMUSG00000000916,NSUN5,Nsun5,11.0
ENSG00000184428,ENSMUSG00000000934,TOP1MT,Top1mt,12.0
ENSG00000253293,ENSMUSG00000000938,HOXA10,Hoxa10,11.0
ENSG00000197576,ENSMUSG00000000942,HOXA4,Hoxa4,11.0
ENSG00000157227,ENSMUSG00000000957,MMP14,Mmp14,11.0
ENSG00000155465,ENSMUSG00000000958,SLC7A7,Slc7a7,11.0
ENSG00000155463,ENSMUSG00000000959,OXA1L,Oxa1l,12.0
ENSG00000068097,ENSMUSG00000000976,HEATR6,Heatr6,12.0
ENSG00000277632,ENSMUSG00000000982,CCL3,Ccl3,7.0
ENSG00000105371,ENSMUSG00000001014,ICAM4,Icam4,10.0
ENSG00000143621,ENSMUSG00000001016,ILF2,Ilf2,12.0
ENSG00000160679,ENSMUSG00000001017,CHTOP,Chtop,11.0
ENSG00000143553,ENSMUSG00000001018,SNAPIN,Snapin,11.0
ENSG00000196154,ENSMUSG00000001020,S100A4,S100a4,11.0
ENSG00000188015,ENSMUSG00000001021,S100A3,S100a3,11.0
ENSG00000196420,ENSMUSG00000001023,S100A5,S100a5,11.0
ENSG00000197956,ENSMUSG00000001025,S100A6,S100a6,12.0
ENSG00000007314,ENSMUSG00000001027,SCN4A,Scn4a,10.0
ENSG00000108622,ENSMUSG00000001029,ICAM2,Icam2,12.0
ENSG00000166484,ENSMUSG00000001034,MAPK7,Mapk7,12.0
ENSG00000072134,ENSMUSG00000001036,EPN2,Epn2,12.0
ENSG00000108641,ENSMUSG00000001039,B9D1,B9d1,11.0
ENSG00000138802,ENSMUSG00000001052,SEC24B,Sec24b,10.0
ENSG00000145911,ENSMUSG00000001053,N4BP3,N4bp3,12.0
ENSG00000145916,ENSMUSG00000001054,RMND5B,Rmnd5b,12.0
ENSG00000145912,ENSMUSG00000001056,NHP2,Nhp2,11.0
ENSG00000075399,ENSMUSG00000001062,VPS9D1,Vps9d1,12.0
ENSG00000158805,ENSMUSG00000001065,ZNF276,Zfp276,12.0
ENSG00000186897,ENSMUSG00000001076,C1QL4,C1ql4,12.0
ENSG00000109736,ENSMUSG00000001082,MFSD10,Mfsd10,12.0
ENSG00000169641,ENSMUSG00000001089,LUZP1,Luzp1,11.0
ENSG00000007216,ENSMUSG00000001095,SLC13A2,Slc13a2,11.0
ENSG00000110906,ENSMUSG00000001098,KCTD10,Kctd10,12.0
ENSG00000004142,ENSMUSG00000001100,POLDIP2,Poldip2,9.0
ENSG00000274529,ENSMUSG00000001103,SEBOX,Sebox,8.0
ENSG00000109083,ENSMUSG00000001105,IFT20,Ift20,10.0
ENSG00000142156,ENSMUSG00000001119,COL6A1,Col6a1,12.0
ENSG00000183570,ENSMUSG00000001120,PCBP3,Pcbp3,12.0
ENSG00000168961,ENSMUSG00000001123,LGALS9,Lgals9,9.0
ENSG00000078061,ENSMUSG00000001127,ARAF,Araf,12.0
ENSG00000126759,ENSMUSG00000001128,CFP,Cfp,12.0
ENSG00000102265,ENSMUSG00000001131,TIMP1,Timp1,10.0
ENSG00000126756,ENSMUSG00000001134,UXT,Uxt,11.0
ENSG00000168763,ENSMUSG00000001138,CNNM3,Cnnm3,12.0
ENSG00000114988,ENSMUSG00000001143,LMAN2L,Lman2l,12.0
ENSG00000160294,ENSMUSG00000001150,MCM3AP,Mcm3ap,10.0
ENSG00000160299,ENSMUSG00000001151,PCNT,Pcnt,10.0
ENSG00000160282,ENSMUSG00000001155,FTCD,Ftcd,12.0
ENSG00000059728,ENSMUSG00000001156,MXD1,Mxd1,10.0
ENSG00000087338,ENSMUSG00000001157,GMCL1,Gmcl1,11.0
ENSG00000124380,ENSMUSG00000001158,SNRNP27,Snrnp27,11.0
ENSG00000122126,ENSMUSG00000001173,OCRL,Ocrl,12.0
ENSG00000198668,ENSMUSG00000001175,CALM1,Calm1,9.0
ENSG00000160216,ENSMUSG00000001211,AGPAT3,Agpat3,12.0
ENSG00000091138,ENSMUSG00000001225,SLC26A3,Slc26a3,12.0
ENSG00000167680,ENSMUSG00000001227,SEMA6B,Sema6b,9.0
ENSG00000276043,ENSMUSG00000001228,UHRF1,Uhrf1,9.0
ENSG00000142002,ENSMUSG00000001229,DPP9,Dpp9,11.0
ENSG00000131477,ENSMUSG00000001240,RAMP2,Ramp2,11.0
ENSG00000105699,ENSMUSG00000001247,LSR,Lsr,11.0
ENSG00000089351,ENSMUSG00000001248,GRAMD1A,Gramd1a,11.0
ENSG00000105707,ENSMUSG00000001249,HPN,Hpn,11.0
ENSG00000163285,ENSMUSG00000001260,GABRG1,Gabrg1,11.0
ENSG00000166165,ENSMUSG00000001270,CKB,Ckb,12.0
ENSG00000185591,ENSMUSG00000001280,SP1,Sp1,10.0
ENSG00000139626,ENSMUSG00000001281,ITGB7,Itgb7,12.0
ENSG00000139637,ENSMUSG00000001285,C12orf10,Myg1,12.0
ENSG00000172819,ENSMUSG00000001288,RARG,Rarg,11.0
ENSG00000123349,ENSMUSG00000001289,PFDN5,Pfdn5,11.0
ENSG00000125266,ENSMUSG00000001300,EFNB2,Efnb2,8.0
ENSG00000067533,ENSMUSG00000001305,RRP15,Rrp15,12.0
ENSG00000108830,ENSMUSG00000001313,RND2,Rnd2,11.0
ENSG00000167720,ENSMUSG00000001323,SRR,Srr,12.0
ENSG00000162520,ENSMUSG00000001333,SYNC,Sync,11.0
ENSG00000160097,ENSMUSG00000001334,FNDC5,Fndc5,10.0
ENSG00000102575,ENSMUSG00000001348,ACP5,Acp5,10.0
ENSG00000130176,ENSMUSG00000001349,CNN1,Cnn1,12.0
ENSG00000112146,ENSMUSG00000001366,FBXO9,Fbxo9,12.0
ENSG00000004766,ENSMUSG00000001376,CCDC132,Vps50,12.0
ENSG00000170445,ENSMUSG00000001380,HARS,Hars,11.0
ENSG00000146007,ENSMUSG00000001383,ZMAT2,Zmat2,12.0
ENSG00000175063,ENSMUSG00000001403,UBE2C,Ube2c,12.0
ENSG00000198952,ENSMUSG00000001415,SMG5,Smg5,12.0
ENSG00000163468,ENSMUSG00000001416,CCT3,Cct3,11.0
ENSG00000198715,ENSMUSG00000001418,GLMP,Glmp,12.0
ENSG00000116604,ENSMUSG00000001419,MEF2D,Mef2d,12.0
ENSG00000163472,ENSMUSG00000001420,TMEM79,Tmem79,12.0
ENSG00000197157,ENSMUSG00000001424,SND1,Snd1,12.0
ENSG00000182871,ENSMUSG00000001435,COL18A1,Col18a1,12.0
ENSG00000173638,ENSMUSG00000001436,SLC19A1,Slc19a1,12.0
ENSG00000108424,ENSMUSG00000001440,KPNB1,Kpnb1,11.0
ENSG00000141279,ENSMUSG00000001441,NPEPPS,Npepps,11.0
ENSG00000073861,ENSMUSG00000001444,TBX21,Tbx21,12.0
ENSG00000159111,ENSMUSG00000001445,MRPL10,Mrpl10,12.0
ENSG00000001630,ENSMUSG00000001467,CYP51A1,Cyp51,12.0
ENSG00000141002,ENSMUSG00000001472,TCF25,Tcf25,12.0
ENSG00000176014,ENSMUSG00000001473,TUBB6,Tubb6,12.0
ENSG00000140995,ENSMUSG00000001482,DEF8,Def8,12.0
ENSG00000005102,ENSMUSG00000001493,MEOX1,Meox1,10.0
ENSG00000167941,ENSMUSG00000001494,SOST,Sost,12.0
ENSG00000136352,ENSMUSG00000001496,NKX2-1,Nkx2-1,12.0
ENSG00000198807,ENSMUSG00000001497,PAX9,Pax9,12.0
ENSG00000170561,ENSMUSG00000001504,IRX2,Irx2,11.0
ENSG00000108821,ENSMUSG00000001506,COL1A1,Col1a1,12.0
ENSG00000005884,ENSMUSG00000001507,ITGA3,Itga3,11.0
ENSG00000108823,ENSMUSG00000001508,SGCA,Sgca,12.0
ENSG00000064195,ENSMUSG00000001510,DLX3,Dlx3,11.0
ENSG00000111206,ENSMUSG00000001517,FOXM1,Foxm1,11.0
ENSG00000111203,ENSMUSG00000001518,ITFG2,Itfg2,12.0
ENSG00000053702,ENSMUSG00000001520,NRIP2,Nrip2,12.0
ENSG00000078246,ENSMUSG00000001521,TULP3,Tulp3,11.0
ENSG00000213780,ENSMUSG00000001524,GTF2H4,Gtf2h4,12.0
ENSG00000196230,ENSMUSG00000001525,TUBB,Tubb5,11.0
ENSG00000118985,ENSMUSG00000001542,ELL2,Ell2,11.0
ENSG00000173801,ENSMUSG00000001552,JUP,Jup,12.0
ENSG00000141756,ENSMUSG00000001555,FKBP10,Fkbp10,11.0
ENSG00000161594,ENSMUSG00000001558,KLHL10,Klhl10,12.0
ENSG00000130675,ENSMUSG00000001566,MNX1,Mnx1,11.0
ENSG00000146909,ENSMUSG00000001569,NOM1,Nom1,11.0
ENSG00000113719,ENSMUSG00000001576,ERGIC1,Ergic1,10.0
ENSG00000174292,ENSMUSG00000001583,TNK1,Tnk1,8.0
ENSG00000072818,ENSMUSG00000001588,ACAP1,Acap1,12.0
ENSG00000204219,ENSMUSG00000001604,TCEA3,Tcea3,12.0
ENSG00000171209,ENSMUSG00000001622,CSN3,Csn3,11.0
ENSG00000006652,ENSMUSG00000001627,IFRD1,Ifrd1,11.0
ENSG00000211455,ENSMUSG00000001630,STK38L,Stk38l,10.0
ENSG00000156983,ENSMUSG00000001632,BRPF1,Brpf1,11.0
ENSG00000085662,ENSMUSG00000001642,AKR1B1,Akr1b3,12.0
ENSG00000123364,ENSMUSG00000001655,HOXC13,Hoxc13,12.0
ENSG00000123388,ENSMUSG00000001656,HOXC11,Hoxc11,10.0
ENSG00000037965,ENSMUSG00000001657,HOXC8,Hoxc8,12.0
ENSG00000197757,ENSMUSG00000001661,HOXC6,Hoxc6,12.0
ENSG00000099977,ENSMUSG00000001666,DDT,Ddt,10.0
ENSG00000198650,ENSMUSG00000001670,TAT,Tat,12.0
ENSG00000140832,ENSMUSG00000001672,MARVELD3,Marveld3,11.0
ENSG00000088205,ENSMUSG00000001674,DDX18,Ddx18,12.0
ENSG00000122042,ENSMUSG00000001687,UBL3,Ubl3,12.0
ENSG00000155324,ENSMUSG00000001700,GRAMD3,Gramd3,9.0
ENSG00000124802,ENSMUSG00000001707,EEF1E1,Eef1e1,12.0
ENSG00000142208,ENSMUSG00000001729,AKT1,Akt1,10.0
ENSG00000106404,ENSMUSG00000001739,CLDN15,Cldn15,12.0
ENSG00000172349,ENSMUSG00000001741,IL16,Il16,9.0
ENSG00000110719,ENSMUSG00000001750,TCIRG1,Tcirg1,12.0
ENSG00000108784,ENSMUSG00000001751,NAGLU,Naglu,12.0
ENSG00000068120,ENSMUSG00000001755,COASY,Coasy,12.0
ENSG00000128602,ENSMUSG00000001761,SMO,Smo,11.0
ENSG00000158457,ENSMUSG00000001763,TSPAN33,Tspan33,9.0
ENSG00000101343,ENSMUSG00000001767,CRNKL1,Crnkl1,12.0
ENSG00000132669,ENSMUSG00000001768,RIN2,Rin2,11.0
ENSG00000086205,ENSMUSG00000001773,FOLH1,Folh1,9.0
ENSG00000110172,ENSMUSG00000001774,CHORDC1,Chordc1,12.0
ENSG00000100220,ENSMUSG00000001783,RTCB,Rtcb,12.0
ENSG00000136045,ENSMUSG00000001785,PWP1,Pwp1,11.0
ENSG00000100225,ENSMUSG00000001786,FBXO7,Fbxo7,12.0
ENSG00000126247,ENSMUSG00000001794,CAPNS1,Capns1,9.0
ENSG00000130881,ENSMUSG00000001802,LRP3,Lrp3,11.0
ENSG00000175065,ENSMUSG00000001804,DSG4,Dsg4,10.0
ENSG00000174279,ENSMUSG00000001815,EVX2,Evx2,10.0
ENSG00000128714,ENSMUSG00000001819,HOXD13,Hoxd13,12.0
ENSG00000170178,ENSMUSG00000001823,HOXD12,Hoxd12,12.0
ENSG00000110195,ENSMUSG00000001827,FOLR1,Folr1,10.0
ENSG00000162129,ENSMUSG00000001829,CLPB,Clpb,11.0
ENSG00000122545,ENSMUSG00000001833,SEPT7,Sept7,10.0
ENSG00000136247,ENSMUSG00000001844,ZDHHC4,Zdhhc4,12.0
ENSG00000136238,ENSMUSG00000001847,RAC1,Rac1,11.0
ENSG00000126883,ENSMUSG00000001855,NUP214,Nup214,11.0
ENSG00000126878,ENSMUSG00000001864,AIF1L,Aif1l,10.0
ENSG00000163751,ENSMUSG00000001865,CPA3,Cpa3,12.0
ENSG00000049323,ENSMUSG00000001870,LTBP1,Ltbp1,11.0
ENSG00000169764,ENSMUSG00000001891,UGP2,Ugp2,12.0
ENSG00000173826,ENSMUSG00000001901,KCNH6,Kcnh6,11.0
ENSG00000104907,ENSMUSG00000001909,TRMT1,Trmt1,11.0
ENSG00000160877,ENSMUSG00000001910,NACC1,Nacc1,12.0
ENSG00000008441,ENSMUSG00000001911,NFIX,Nfix,10.0
ENSG00000105281,ENSMUSG00000001918,SLC1A5,Slc1a5,10.0
ENSG00000130985,ENSMUSG00000001924,UBA1,Uba1,12.0
ENSG00000110799,ENSMUSG00000001930,VWF,Vwf,10.0
ENSG00000110013,ENSMUSG00000001942,SIAE,Siae,12.0
ENSG00000019102,ENSMUSG00000001943,VSIG2,Vsig2,12.0
ENSG00000149564,ENSMUSG00000001946,ESAM,Esam,12.0
ENSG00000064199,ENSMUSG00000001948,SPA17,Spa17,12.0
ENSG00000071859,ENSMUSG00000001962,FAM50A,Fam50a,10.0
ENSG00000102119,ENSMUSG00000001964,EMD,Emd,12.0
ENSG00000136463,ENSMUSG00000001983,TACO1,Taco1,12.0
ENSG00000163873,ENSMUSG00000001985,GRIK3,Grik3,12.0
ENSG00000125675,ENSMUSG00000001986,GRIA3,Gria3,8.0
ENSG00000130751,ENSMUSG00000001988,NPAS1,Npas1,11.0
ENSG00000116991,ENSMUSG00000001995,SIPA1L2,Sipa1l2,11.0
ENSG00000081014,ENSMUSG00000001998,AP4E1,Ap4e1,11.0
ENSG00000106605,ENSMUSG00000001999,BLVRA,Blvra,12.0
ENSG00000067840,ENSMUSG00000002006,PDZD4,Pdzd4,11.0
ENSG00000184343,ENSMUSG00000002007,SRPK3,Srpk3,12.0
ENSG00000067829,ENSMUSG00000002010,IDH3G,Idh3g,12.0
ENSG00000130822,ENSMUSG00000002012,PNCK,Pnck,11.0
ENSG00000180879,ENSMUSG00000002014,SSR4,Ssr4,9.0
ENSG00000185825,ENSMUSG00000002015,BCAP31,Bcap31,11.0
ENSG00000119812,ENSMUSG00000002017,FAM98A,Fam98a,10.0
ENSG00000119681,ENSMUSG00000002020,LTBP2,Ltbp2,9.0
ENSG00000118058,ENSMUSG00000002028,KMT2A,Kmt2a,9.0
ENSG00000118096,ENSMUSG00000002031,IFT46,Ift46,11.0
ENSG00000149582,ENSMUSG00000002032,TMEM25,Tmem25,11.0
ENSG00000160654,ENSMUSG00000002033,CD3G,Cd3g,12.0
ENSG00000007255,ENSMUSG00000002043,TRAPPC6A,Trappc6a,12.0
ENSG00000109111,ENSMUSG00000002052,SUPT6H,Supt6,11.0
ENSG00000076382,ENSMUSG00000002055,SPAG5,Spag5,12.0
ENSG00000109101,ENSMUSG00000002057,FOXN1,Foxn1,11.0
ENSG00000109103,ENSMUSG00000002058,UNC119,Unc119,12.0
ENSG00000109113,ENSMUSG00000002059,RAB34,Rab34,8.0
ENSG00000132581,ENSMUSG00000002064,SDF2,Sdf2,11.0
ENSG00000105173,ENSMUSG00000002068,CCNE1,Ccne1,11.0
ENSG00000160207,ENSMUSG00000002076,HSF2BP,Hsf2bp,11.0
ENSG00000105327,ENSMUSG00000002083,BBC3,Bbc3,6.0
ENSG00000134571,ENSMUSG00000002100,MYBPC3,Mybpc3,10.0
ENSG00000165916,ENSMUSG00000002102,PSMC3,Psmc3,11.0
ENSG00000134575,ENSMUSG00000002103,ACP2,Acp2,12.0
ENSG00000165917,ENSMUSG00000002104,RAPSN,Rapsn,10.0
ENSG00000165915,ENSMUSG00000002105,SLC39A13,Slc39a13,12.0
ENSG00000048740,ENSMUSG00000002107,CELF2,Celf2,9.0
ENSG00000025434,ENSMUSG00000002108,NR1H3,Nr1h3,10.0
ENSG00000134574,ENSMUSG00000002109,DDB2,Ddb2,11.0
ENSG00000066336,ENSMUSG00000002111,SPI1,Spi1,12.0
ENSG00000099995,ENSMUSG00000002129,SF3A1,Sf3a1,12.0
ENSG00000166888,ENSMUSG00000002147,STAT6,Stat6,11.0
ENSG00000153132,ENSMUSG00000002190,CLGN,Clgn,11.0
ENSG00000131400,ENSMUSG00000002204,NAPSA,Napsa,12.0
ENSG00000105053,ENSMUSG00000002205,VRK3,Vrk3,12.0
ENSG00000105771,ENSMUSG00000002210,SMG9,Smg9,12.0
ENSG00000157212,ENSMUSG00000002221,PAXIP1,Paxip1,11.0
ENSG00000153561,ENSMUSG00000002222,RMND5A,Rmnd5a,11.0
ENSG00000155363,ENSMUSG00000002227,MOV10,Mov10,11.0
ENSG00000155367,ENSMUSG00000002228,PPM1J,Ppm1j,12.0
ENSG00000155366,ENSMUSG00000002233,RHOC,Rhoc,10.0
ENSG00000187533,ENSMUSG00000002240,PRR27,Prr27,7.0
ENSG00000007866,ENSMUSG00000002249,TEAD3,Tead3,10.0
ENSG00000112033,ENSMUSG00000002250,PPARD,Ppard,12.0
ENSG00000023892,ENSMUSG00000002257,DEF6,Def6,12.0
