mouse_ensembl_gene,chromosome,strand,start,end,coding_start,coding_end,KO_intervals,mouse_symbol
ENSMUSG00000000982,chr11,-,83647844,83649355,83648256,83649277,"[[83648256, 83649355]]",Ccl3
ENSMUSG00000001014,chr9,+,21029373,21030595,21029454,21030491,"[[21029373, 21030491]]",Icam4
ENSMUSG00000001016,chr3,+,90476147,90488379,90476241,90487616,"[[90476147, 90487616]]",Ilf2
ENSMUSG00000001017,chr3,-,90498956,90509498,90499905,90507609,"[[90499905, 90509498]]",Chtop
ENSMUSG00000001018,chr3,-,90488034,90491033,90489495,90490974,"[[90489495, 90491033]]",Snapin
ENSMUSG00000001020,chr3,+,90603771,90606045,90605012,90605901,"[[90603771, 90605901]]",S100a4
ENSMUSG00000001021,chr3,+,90584659,90602702,90601785,90602352,"[[90584659, 90602352]]",S100a3
ENSMUSG00000001023,chr3,+,90608523,90611780,90609824,90611651,"[[90608523, 90611651]]",S100a5
ENSMUSG00000001025,chr3,+,90612882,90614414,90613767,90614319,"[[90612882, 90614319]]",S100a6
ENSMUSG00000001027,chr11,-,106318592,106349389,106319667,106349389,"[[106319667, 106349389]]",Scn4a
ENSMUSG00000001029,chr11,-,106377656,106388075,106377810,106382484,"[[106377810, 106388075]]",Icam2
ENSMUSG00000001034,chr11,-,61488812,61494296,61489120,61493878,"[[61489120, 61494296]]",Mapk7
ENSMUSG00000001036,chr11,-,61517249,61579687,61519421,61546744,"[[61519421, 61579687]]",Epn2
ENSMUSG00000001039,chr11,+,61505144,61512931,61505209,61512791,"[[61505144, 61512791]]",B9d1
ENSMUSG00000001052,chr3,-,129982759,130060907,129983895,130060668,"[[129983895, 130060907]]",Sec24b
ENSMUSG00000001053,chr11,-,51643063,51650842,51643624,51646244,"[[51643624, 51650842]]",N4bp3
ENSMUSG00000001054,chr11,-,51623673,51635896,51624086,51629614,"[[51624086, 51635896]]",Rmnd5b
ENSMUSG00000001056,chr11,+,51619735,51623714,51619818,51623214,"[[51619735, 51623214]]",Nhp2
ENSMUSG00000001062,chr8,-,123242356,123254348,123243099,123254086,"[[123243099, 123254348]]",Vps9d1
ENSMUSG00000001065,chr8,+,123254195,123269745,123254716,123268037,"[[123254195, 123268037]]",Zfp276
ENSMUSG00000001076,chr15,-,99084086,99087817,99084757,99087728,"[[99084757, 99087817]]",C1ql4
ENSMUSG00000001082,chr5,-,34633642,34637212,34633902,34636767,"[[34633902, 34637212]]",Mfsd10
ENSMUSG00000001089,chr4,+,136469761,136554780,136540468,136545390,"[[136469761, 136545390]]",Luzp1
ENSMUSG00000001095,chr11,-,78397087,78422217,78397691,78422167,"[[78397691, 78422217]]",Slc13a2
ENSMUSG00000001098,chr5,-,114363567,114380508,114365645,114380428,"[[114365645, 114380508]]",Kctd10
ENSMUSG00000001100,chr11,+,78512193,78522736,78512312,78521905,"[[78512193, 78521905]]",Poldip2
ENSMUSG00000001103,chr11,+,78503447,78505081,78503550,78504403,"[[78503447, 78504403]]",Sebox
ENSMUSG00000001105,chr11,+,78536361,78541737,78538836,78541439,"[[78536361, 78541439]]",Ift20
ENSMUSG00000001119,chr10,-,76708792,76726168,76709562,76725913,"[[76709562, 76726168]]",Col6a1
ENSMUSG00000001120,chr10,-,76761857,76961887,76762493,76825869,"[[76762493, 76961887]]",Pcbp3
ENSMUSG00000001123,chr11,-,78962974,78984946,78963398,78984816,"[[78963398, 78984946]]",Lgals9
ENSMUSG00000001127,chrX,+,20848543,20860519,20849987,20860110,"[[20848543, 20860110]]",Araf
ENSMUSG00000001128,chrX,-,20925454,20931555,20925597,20931454,"[[20925597, 20931555]]",Cfp
ENSMUSG00000001131,chrX,+,20870166,20874735,20871039,20874629,"[[20870166, 20874629]]",Timp1
ENSMUSG00000001134,chrX,-,20951662,20962017,20951973,20961777,"[[20951973, 20962017]]",Uxt
ENSMUSG00000001138,chr1,+,36511867,36528237,36511911,36525227,"[[36511867, 36525227]]",Cnnm3
ENSMUSG00000001143,chr1,-,36419871,36445271,36419962,36445233,"[[36419962, 36445271]]",Lman2l
ENSMUSG00000001150,chr10,+,76468927,76515857,76470055,76515737,"[[76468927, 76515737]]",Mcm3ap
ENSMUSG00000001151,chr10,-,76351263,76442786,76351742,76442618,"[[76351742, 76442786]]",Pcnt
ENSMUSG00000001155,chr10,+,76575648,76589561,76575706,76589309,"[[76575648, 76589309]]",Ftcd
ENSMUSG00000001156,chr6,-,86647042,86669161,86649673,86669008,"[[86649673, 86669161]]",Mxd1
ENSMUSG00000001157,chr6,-,86691768,86733383,86692926,86733164,"[[86692926, 86733383]]",Gmcl1
ENSMUSG00000001158,chr6,-,86675151,86684522,86675529,86684480,"[[86675529, 86684522]]",Snrnp27
ENSMUSG00000001173,chrX,+,47912387,47965868,47912653,47963581,"[[47912387, 47963581]]",Ocrl
ENSMUSG00000001175,chr12,+,100199435,100209814,100199714,100206425,"[[100199435, 100206425]]",Calm1
ENSMUSG00000001211,chr10,-,78269178,78352489,78273690,78288024,"[[78273690, 78352489]]",Agpat3
ENSMUSG00000001225,chr12,+,31390871,31473917,31447099,31473492,"[[31390871, 31473492]]",Slc26a3
ENSMUSG00000001227,chr17,-,56123085,56140343,56124004,56132839,"[[56124004, 56140343]]",Sema6b
ENSMUSG00000001228,chr17,+,56303321,56323486,56305098,56322499,"[[56303321, 56322499]]",Uhrf1
ENSMUSG00000001229,chr17,-,56186817,56218889,56187372,56211802,"[[56187372, 56218889]]",Dpp9
ENSMUSG00000001240,chr11,+,101246028,101248250,101246452,101248064,"[[101246028, 101248064]]",Ramp2
ENSMUSG00000001247,chr7,-,30957770,30973464,30957869,30973173,"[[30957869, 30973464]]",Lsr
ENSMUSG00000001248,chr7,-,31130127,31155896,31130495,31155117,"[[31130495, 31155896]]",Gramd1a
ENSMUSG00000001249,chr7,-,31098725,31115290,31098813,31114690,"[[31098813, 31115290]]",Hpn
ENSMUSG00000001260,chr5,-,70751047,70842617,70754025,70842219,"[[70754025, 70842617]]",Gabrg1
ENSMUSG00000001270,chr12,-,111669361,111672338,111669566,111671958,"[[111669566, 111672338]]",Ckb
ENSMUSG00000001280,chr15,+,102406143,102436404,102406416,102431029,"[[102406143, 102431029]]",Sp1
ENSMUSG00000001281,chr15,-,102215995,102231944,102216158,102227598,"[[102216158, 102231944]]",Itgb7
ENSMUSG00000001285,chr15,+,102331709,102338139,102331741,102337831,"[[102331709, 102337831]]",Myg1
ENSMUSG00000001288,chr15,-,102234938,102257517,102236027,102252602,"[[102236027, 102257517]]",Rarg
ENSMUSG00000001289,chr15,+,102326116,102331873,102326189,102331346,"[[102326116, 102331346]]",Pfdn5
ENSMUSG00000001300,chr8,-,8617434,8661242,8620591,8660614,"[[8620591, 8661242]]",Efnb2
ENSMUSG00000001305,chr1,-,186720978,186749358,186721406,186749308,"[[186721406, 186749358]]",Rrp15
ENSMUSG00000001313,chr11,+,101468175,101471853,101468338,101471303,"[[101468175, 101471303]]",Rnd2
ENSMUSG00000001323,chr11,-,74906359,74925948,74908631,74913129,"[[74908631, 74925948]]",Srr
ENSMUSG00000001333,chr4,+,129287617,129308559,129287739,129308049,"[[129287617, 129308049]]",Sync
ENSMUSG00000001334,chr4,+,129136999,129144593,129137079,129142537,"[[129136999, 129142537]]",Fndc5
ENSMUSG00000001348,chr9,-,22126727,22135711,22127023,22130129,"[[22127023, 22135711]]",Acp5
ENSMUSG00000001349,chr9,+,22099216,22109630,22099356,22108228,"[[22099216, 22108228]]",Cnn1
ENSMUSG00000001366,chr9,-,78081499,78109065,78081983,78109007,"[[78081983, 78109065]]",Fbxo9
ENSMUSG00000001376,chr6,+,3498382,3603531,3498523,3602776,"[[3498382, 3602776]]",Vps50
ENSMUSG00000001380,chr18,-,36766528,36783205,36766815,36783100,"[[36766815, 36783205]]",Hars
ENSMUSG00000001383,chr18,+,36793876,36799666,36793942,36798019,"[[36793876, 36798019]]",Zmat2
ENSMUSG00000001403,chr2,+,164769898,164778822,164769980,164777221,"[[164769898, 164777221]]",Ube2c
ENSMUSG00000001415,chr3,+,88336260,88362338,88336424,88361105,"[[88336260, 88361105]]",Smg5
ENSMUSG00000001416,chr3,+,88297116,88321767,88297236,88321545,"[[88297116, 88321545]]",Cct3
ENSMUSG00000001418,chr3,+,88325023,88331313,88325082,88328365,"[[88325023, 88328365]]",Glmp
ENSMUSG00000001419,chr3,+,88142372,88172086,88155809,88168640,"[[88142372, 88168640]]",Mef2d
ENSMUSG00000001420,chr3,-,88328655,88336148,88329722,88333639,"[[88329722, 88336148]]",Tmem79
ENSMUSG00000001424,chr6,+,28475139,28935162,28480565,28933411,"[[28475139, 28933411]]",Snd1
ENSMUSG00000001435,chr10,-,77052178,77166548,77053197,77166449,"[[77053197, 77166548]]",Col18a1
ENSMUSG00000001436,chr10,+,77032241,77061002,77038397,77060664,"[[77032241, 77060664]]",Slc19a1
ENSMUSG00000001440,chr11,-,97159714,97187881,97163355,97187585,"[[97163355, 97187881]]",Kpnb1
ENSMUSG00000001441,chr11,-,97205842,97280638,97205987,97280458,"[[97205987, 97280638]]",Npepps
ENSMUSG00000001444,chr11,-,97098071,97115331,97098775,97115137,"[[97098775, 97115331]]",Tbx21
ENSMUSG00000001445,chr11,+,97041560,97049213,97041601,97048332,"[[97041560, 97048332]]",Mrpl10
ENSMUSG00000001467,chr5,-,4081145,4104746,4083128,4104307,"[[4083128, 4104746]]",Cyp51
ENSMUSG00000001472,chr8,+,123373753,123403835,123373873,123403152,"[[123373753, 123403152]]",Tcf25
ENSMUSG00000001473,chr18,+,67390717,67402749,67390758,67402373,"[[67390717, 67402373]]",Tubb6
ENSMUSG00000001482,chr8,+,123423527,123463270,123446159,123461563,"[[123423527, 123461563]]",Def8
ENSMUSG00000001493,chr11,-,101877510,101894374,101878610,101894005,"[[101878610, 101894374]]",Meox1
ENSMUSG00000001494,chr11,-,101962458,101967015,101963849,101966973,"[[101963849, 101967015]]",Sost
ENSMUSG00000001496,chr12,-,56531958,56536908,56533038,56535060,"[[56533038, 56536908]]",Nkx2-1
ENSMUSG00000001497,chr12,+,56691767,56712822,56695861,56709904,"[[56691767, 56709904]]",Pax9
ENSMUSG00000001504,chr13,+,72628820,72634198,72629062,72632635,"[[72628820, 72632635]]",Irx2
ENSMUSG00000001506,chr11,+,94936224,94953042,94936369,94951616,"[[94936224, 94951616]]",Col1a1
ENSMUSG00000001507,chr11,-,95044474,95076801,95045611,95076797,"[[95045611, 95076801]]",Itga3
ENSMUSG00000001508,chr11,-,94962791,94976327,94963222,94973438,"[[94963222, 94976327]]",Sgca
ENSMUSG00000001510,chr11,+,95120119,95125296,95120322,95123753,"[[95120119, 95123753]]",Dlx3
ENSMUSG00000001517,chr6,+,128362967,128376146,128365705,128373963,"[[128362967, 128373963]]",Foxm1
ENSMUSG00000001518,chr6,-,128409444,128424931,128410317,128424813,"[[128410317, 128424931]]",Itfg2
ENSMUSG00000001520,chr6,+,128399296,128408932,128399306,128408417,"[[128399296, 128408417]]",Nrip2
ENSMUSG00000001521,chr6,-,128321161,128355851,128323082,128355778,"[[128323082, 128355851]]",Tulp3
ENSMUSG00000001524,chr17,-,35667730,35673739,35667833,35672825,"[[35667833, 35673739]]",Gtf2h4
ENSMUSG00000001525,chr17,-,35833921,35838306,35834985,35838053,"[[35834985, 35838306]]",Tubb5
ENSMUSG00000001542,chr13,+,75706757,75772364,75707651,75771497,"[[75706757, 75771497]]",Ell2
