mouse_ensembl_gene,chromosome,KO_intervals,KO_ttaas
ENSMUSG00000013698,1,"[[172198629, 172206804]]",24
ENSMUSG00000013973,1,"[[171329145, 171341201]]",71
ENSMUSG00000013997,1,"[[171338626, 171345646]]",36
ENSMUSG00000014226,1,"[[160203570, 160212875]]",72
ENSMUSG00000014602,1,"[[93018460, 93101951]]",218
ENSMUSG00000014980,1,"[[152371244, 152386682]]",109
ENSMUSG00000015222,1,"[[66175273, 66439149]]",2021
ENSMUSG00000015314,1,"[[171917515, 171948070]]",167
ENSMUSG00000015316,1,"[[171767127, 171799620]]",159
ENSMUSG00000015355,1,"[[171682009, 171704874]]",135
ENSMUSG00000015484,1,"[[156078900, 156205026]]",344
ENSMUSG00000015829,1,"[[159523769, 159924210]]",2003
ENSMUSG00000015843,1,"[[167598384, 167639270]]",158
ENSMUSG00000015961,1,"[[177764248, 177796511]]",267
ENSMUSG00000015962,1,"[[177729814, 177753025]]",110
ENSMUSG00000016179,1,"[[193347157, 193370298]]",64
ENSMUSG00000016181,1,"[[193092622, 193130272]]",156
ENSMUSG00000016194,1,"[[193222014, 193264075]]",196
ENSMUSG00000016200,1,"[[192897310, 193035775]]",1029
ENSMUSG00000016262,1,"[[192846376, 192855756]]",36
ENSMUSG00000016481,1,"[[195098832, 195131586]]",250
ENSMUSG00000016493,1,"[[195041995, 195092249]]",364
ENSMUSG00000016494,1,"[[194938819, 194960118]]",118
ENSMUSG00000016524,1,"[[130933151, 130940115]]",34
ENSMUSG00000016526,1,"[[131128677, 131138340]]",59
ENSMUSG00000016528,1,"[[131055095, 131097826]]",147
ENSMUSG00000016529,1,"[[131019845, 131024265]]",20
ENSMUSG00000016918,1,"[[12692277, 12859626]]",880
ENSMUSG00000018189,1,"[[143777272, 143806725]]",288
ENSMUSG00000018196,1,"[[143739029, 143746636]]",50
ENSMUSG00000018199,1,"[[143757745, 143777068]]",158
ENSMUSG00000018417,1,"[[51751176, 51916071]]",930
ENSMUSG00000019230,1,"[[138828657, 138848577]]",121
ENSMUSG00000019699,1,"[[177020090, 177258203]]",2012
ENSMUSG00000020423,1,"[[134077372, 134079120]]",5
ENSMUSG00000022995,1,"[[181905863, 182019990]]",949
ENSMUSG00000023150,1,"[[151344477, 151363362]]",165
ENSMUSG00000025774,1,"[[18115632, 18145902]]",251
ENSMUSG00000025776,1,"[[17727045, 17764111]]",282
ENSMUSG00000025777,1,"[[17145362, 17161506]]",112
ENSMUSG00000025779,1,"[[16688433, 16709534]]",116
ENSMUSG00000025900,1,"[[3999560, 4409241]]",2634
ENSMUSG00000025902,1,"[[4491719, 4497354]]",25
ENSMUSG00000025903,1,"[[4807823, 4845013]]",306
ENSMUSG00000025905,1,"[[5588493, 5602868]]",87
ENSMUSG00000025907,1,"[[6206197, 6274272]]",560
ENSMUSG00000025909,1,"[[8363478, 9299238]]",6112
ENSMUSG00000025911,1,"[[9547948, 9576271]]",167
ENSMUSG00000025912,1,"[[9669887, 9700209]]",334
ENSMUSG00000025915,1,"[[9798107, 9898887]]",666
ENSMUSG00000025916,1,"[[9968823, 10009136]]",290
ENSMUSG00000025917,1,"[[10024982, 10038149]]",100
ENSMUSG00000025920,1,"[[16229776, 16520112]]",1850
ENSMUSG00000025921,1,"[[16105774, 16131414]]",159
ENSMUSG00000025925,1,"[[15805646, 15843079]]",263
ENSMUSG00000025927,1,"[[19208914, 19236627]]",190
ENSMUSG00000025929,1,"[[20730905, 20733856]]",15
ENSMUSG00000025930,1,"[[14754242, 14755990]]",7
ENSMUSG00000025931,1,"[[20890606, 20935685]]",219
ENSMUSG00000025932,1,"[[14170919, 14310235]]",908
ENSMUSG00000025933,1,"[[21218575, 21229627]]",56
ENSMUSG00000025934,1,"[[21240589, 21264959]]",146
ENSMUSG00000025935,1,"[[13566326, 13589910]]",117
ENSMUSG00000025937,1,"[[13626864, 13660546]]",204
ENSMUSG00000025938,1,"[[12871871, 12992650]]",699
ENSMUSG00000025939,1,"[[16541775, 16619489]]",570
ENSMUSG00000025940,1,"[[16665207, 16677422]]",75
ENSMUSG00000025946,1,"[[65282056, 65388807]]",673
ENSMUSG00000025949,1,"[[65186702, 65273755]]",706
ENSMUSG00000025950,1,"[[65159468, 65186500]]",166
ENSMUSG00000025952,1,"[[65071602, 65073689]]",19
ENSMUSG00000025956,1,"[[64607743, 64617242]]",52
ENSMUSG00000025958,1,"[[64532645, 64597375]]",530
ENSMUSG00000025959,1,"[[64035716, 64122282]]",486
ENSMUSG00000025962,1,"[[63730614, 63752401]]",149
ENSMUSG00000025963,1,"[[63699012, 63730318]]",190
ENSMUSG00000025964,1,"[[63445895, 63592744]]",944
ENSMUSG00000025967,1,"[[63176825, 63179609]]",18
ENSMUSG00000025968,1,"[[63143834, 63176833]]",254
ENSMUSG00000025969,1,"[[62703285, 62815634]]",450
ENSMUSG00000025971,1,"[[57406328, 57415731]]",68
ENSMUSG00000025977,1,"[[55270645, 55363469]]",658
ENSMUSG00000025978,1,"[[55171813, 55226782]]",327
ENSMUSG00000025979,1,"[[55131231, 55152803]]",156
ENSMUSG00000025980,1,"[[55078291, 55088243]]",64
ENSMUSG00000025981,1,"[[55052770, 55071800]]",134
ENSMUSG00000025982,1,"[[54987337, 55027481]]",375
ENSMUSG00000025983,1,"[[54250683, 54368396]]",690
ENSMUSG00000025986,1,"[[46809956, 46892852]]",653
ENSMUSG00000025991,1,"[[67123026, 67230343]]",862
ENSMUSG00000025993,1,"[[45909409, 45926519]]",121
ENSMUSG00000025995,1,"[[45795166, 45823512]]",208
ENSMUSG00000025997,1,"[[69538771, 69687245]]",1149
ENSMUSG00000026000,1,"[[67003484, 67038872]]",186
ENSMUSG00000026003,1,"[[66831437, 66863277]]",232
ENSMUSG00000026004,1,"[[66720779, 66817562]]",813
ENSMUSG00000026005,1,"[[66700831, 66717873]]",112
ENSMUSG00000026009,1,"[[60977927, 60997711]]",135
ENSMUSG00000026011,1,"[[60909025, 60914714]]",31
ENSMUSG00000026012,1,"[[60746358, 60769782]]",162
ENSMUSG00000026014,1,"[[60483239, 60567104]]",735
ENSMUSG00000026017,1,"[[60098264, 60150684]]",407
ENSMUSG00000026018,1,"[[59991127, 60043122]]",343
ENSMUSG00000026019,1,"[[60078167, 60098645]]",151
ENSMUSG00000026020,1,"[[59684977, 59711334]]",241
ENSMUSG00000026021,1,"[[59640203, 59670834]]",251
ENSMUSG00000026023,1,"[[59256906, 59344354]]",522
ENSMUSG00000026024,1,"[[59164180, 59237231]]",479
ENSMUSG00000026027,1,"[[58973522, 58994433]]",165
ENSMUSG00000026028,1,"[[58903507, 58973430]]",459
ENSMUSG00000026029,1,"[[58795374, 58846751]]",324
ENSMUSG00000026031,1,"[[58711551, 58753919]]",222
ENSMUSG00000026032,1,"[[58586384, 58595802]]",80
ENSMUSG00000026034,1,"[[58412200, 58424066]]",90
ENSMUSG00000026035,1,"[[58431207, 58445486]]",93
ENSMUSG00000026036,1,"[[58445151, 58481026]]",205
ENSMUSG00000026037,1,"[[58464207, 58505109]]",291
ENSMUSG00000026039,1,"[[57995971, 58024796]]",207
ENSMUSG00000026042,1,"[[45376087, 45503282]]",1161
ENSMUSG00000026043,1,"[[45311538, 45348744]]",356
ENSMUSG00000026047,1,"[[44107090, 44118808]]",72
ENSMUSG00000026048,1,"[[44147847, 44181079]]",229
ENSMUSG00000026049,1,"[[44086893, 44102441]]",123
ENSMUSG00000026051,1,"[[43730602, 43742403]]",71
ENSMUSG00000026058,1,"[[32172714, 32657538]]",3562
ENSMUSG00000026062,1,"[[40680574, 40767996]]",482
ENSMUSG00000026064,1,"[[30943209, 30949309]]",61
ENSMUSG00000026065,1,"[[40580081, 40629589]]",274
ENSMUSG00000026068,1,"[[40515362, 40549085]]",168
ENSMUSG00000026069,1,"[[40429570, 40462166]]",158
ENSMUSG00000026070,1,"[[40465552, 40498687]]",190
ENSMUSG00000026072,1,"[[40225080, 40313390]]",481
ENSMUSG00000026073,1,"[[40074079, 40125204]]",211
ENSMUSG00000026074,1,"[[39900913, 40024709]]",645
ENSMUSG00000026077,1,"[[39193731, 39362004]]",729
ENSMUSG00000026078,1,"[[38985608, 38996280]]",58
ENSMUSG00000026080,1,"[[38865501, 38898161]]",148
ENSMUSG00000026082,1,"[[38053090, 38129801]]",641
ENSMUSG00000026083,1,"[[37998010, 38051710]]",360
ENSMUSG00000026085,1,"[[37946888, 37957759]]",58
ENSMUSG00000026087,1,"[[37890477, 37898261]]",46
ENSMUSG00000026088,1,"[[37879271, 37890411]]",61
ENSMUSG00000026090,1,"[[37612260, 37720085]]",455
ENSMUSG00000026094,1,"[[53757491, 53785224]]",259
ENSMUSG00000026095,1,"[[53344733, 53352752]]",68
ENSMUSG00000026096,1,"[[53313624, 53323242]]",87
ENSMUSG00000026097,1,"[[53297095, 53308959]]",81
ENSMUSG00000026098,1,"[[53189337, 53297018]]",732
ENSMUSG00000026100,1,"[[53061640, 53066628]]",42
ENSMUSG00000026102,1,"[[52789671, 52817688]]",157
ENSMUSG00000026103,1,"[[52166161, 52233232]]",731
ENSMUSG00000026104,1,"[[52119440, 52159294]]",213
ENSMUSG00000026107,1,"[[51471248, 51478425]]",66
ENSMUSG00000026109,1,"[[50909962, 51185478]]",2120
ENSMUSG00000026110,1,"[[37444662, 37541016]]",525
ENSMUSG00000026111,1,"[[37430139, 37438815]]",33
ENSMUSG00000026112,1,"[[37420589, 37430103]]",46
ENSMUSG00000026113,1,"[[37299891, 37408256]]",415
ENSMUSG00000026114,1,"[[37214434, 37262093]]",199
ENSMUSG00000026116,1,"[[36792924, 36943666]]",879
ENSMUSG00000026117,1,"[[36761798, 36782581]]",56
ENSMUSG00000026121,1,"[[36549542, 36558349]]",12
ENSMUSG00000026123,1,"[[34849976, 34877044]]",127
ENSMUSG00000026124,1,"[[34535648, 34544134]]",24
ENSMUSG00000026126,1,"[[34459765, 34475651]]",65
ENSMUSG00000026127,1,"[[34439851, 34444467]]",24
ENSMUSG00000026131,1,"[[33908225, 34307589]]",2420
ENSMUSG00000026134,1,"[[33454089, 33669795]]",1266
ENSMUSG00000026135,1,"[[74566881, 74588145]]",103
ENSMUSG00000026141,1,"[[24264693, 24587472]]",2316
ENSMUSG00000026142,1,"[[82316452, 82442951]]",746
ENSMUSG00000026147,1,"[[24177610, 24251858]]",518
ENSMUSG00000026149,1,"[[82757435, 82768461]]",71
ENSMUSG00000026150,1,"[[82724890, 82751713]]",205
ENSMUSG00000026153,1,"[[24012295, 24100333]]",735
ENSMUSG00000026154,1,"[[23996254, 24005656]]",49
ENSMUSG00000026155,1,"[[23846432, 23922317]]",555
ENSMUSG00000026156,1,"[[23761753, 23845184]]",446
ENSMUSG00000026158,1,"[[23369752, 23397541]]",200
ENSMUSG00000026159,1,"[[82839483, 82895055]]",430
ENSMUSG00000026162,1,"[[74967697, 75046639]]",372
ENSMUSG00000026163,1,"[[83257130, 83408200]]",945
ENSMUSG00000026166,1,"[[83116766, 83118714]]",17
ENSMUSG00000026167,1,"[[74791516, 74803617]]",38
ENSMUSG00000026170,1,"[[74713574, 74737656]]",121
ENSMUSG00000026171,1,"[[74593827, 74601397]]",35
ENSMUSG00000026172,1,"[[74588289, 74592068]]",9
ENSMUSG00000026173,1,"[[74542888, 74565839]]",121
ENSMUSG00000026174,1,"[[74506058, 74528851]]",160
ENSMUSG00000026175,1,"[[74409376, 74434988]]",80
ENSMUSG00000026176,1,"[[74391509, 74395581]]",7
ENSMUSG00000026177,1,"[[74375195, 74385503]]",31
ENSMUSG00000026179,1,"[[74284930, 74351928]]",240
ENSMUSG00000026180,1,"[[74153989, 74159425]]",17
ENSMUSG00000026182,1,"[[73015300, 73015909]]",1
ENSMUSG00000026185,1,"[[72862380, 72874884]]",49
ENSMUSG00000026187,1,"[[72307427, 72394719]]",513
ENSMUSG00000026188,1,"[[72284369, 72301303]]",95
ENSMUSG00000026189,1,"[[72259351, 72284314]]",129
ENSMUSG00000026192,1,"[[71557150, 71578668]]",133
ENSMUSG00000026193,1,"[[71586215, 71653200]]",468
ENSMUSG00000026196,1,"[[71030523, 71103146]]",547
ENSMUSG00000026197,1,"[[75168646, 75171390]]",3
ENSMUSG00000026198,1,"[[75171883, 75180392]]",26
ENSMUSG00000026199,1,"[[75192160, 75199184]]",27
ENSMUSG00000026200,1,"[[75199497, 75210813]]",61
ENSMUSG00000026201,1,"[[75210838, 75213951]]",7
ENSMUSG00000026202,1,"[[75215625, 75219865]]",6
ENSMUSG00000026203,1,"[[75236406, 75244801]]",28
ENSMUSG00000026204,1,"[[75247552, 75264502]]",48
ENSMUSG00000026205,1,"[[75125732, 75133890]]",25
ENSMUSG00000026207,1,"[[75375297, 75431448]]",139
ENSMUSG00000026208,1,"[[75360329, 75367047]]",17
ENSMUSG00000026209,1,"[[75308662, 75317990]]",17
ENSMUSG00000026211,1,"[[75485955, 75506361]]",58
ENSMUSG00000026213,1,"[[75521529, 75536232]]",37
ENSMUSG00000026219,1,"[[84724621, 84840516]]",1082
ENSMUSG00000026220,1,"[[84907281, 84935134]]",132
ENSMUSG00000026222,1,"[[85649988, 85709115]]",293
ENSMUSG00000026223,1,"[[85894281, 85907635]]",24
ENSMUSG00000026226,1,"[[86018068, 86026526]]",34
ENSMUSG00000026227,1,"[[86045863, 86053086]]",33
ENSMUSG00000026228,1,"[[86099346, 86111970]]",113
ENSMUSG00000026229,1,"[[86064619, 86137106]]",547
ENSMUSG00000026234,1,"[[86350623, 86359400]]",67
ENSMUSG00000026235,1,"[[77373736, 77515088]]",910
ENSMUSG00000026237,1,"[[86386328, 86426228]]",173
ENSMUSG00000026238,1,"[[86526726, 86530009]]",5
ENSMUSG00000026239,1,"[[86543505, 86582547]]",261
ENSMUSG00000026240,1,"[[86582904, 86605213]]",113
ENSMUSG00000026241,1,"[[86669667, 86670571]]",0
ENSMUSG00000026245,1,"[[78425197, 78488897]]",467
ENSMUSG00000026246,1,"[[87087051, 87089928]]",3
ENSMUSG00000026247,1,"[[87147990, 87156521]]",8
ENSMUSG00000026248,1,"[[79776018, 79781135]]",43
ENSMUSG00000026249,1,"[[79795008, 79861180]]",305
ENSMUSG00000026251,1,"[[87190637, 87198759]]",28
ENSMUSG00000026253,1,"[[87204657, 87211485]]",7
ENSMUSG00000026254,1,"[[87213914, 87237882]]",125
ENSMUSG00000026255,1,"[[87264363, 87309792]]",182
ENSMUSG00000026258,1,"[[87470271, 87475435]]",5
ENSMUSG00000026259,1,"[[87477557, 87573870]]",406
ENSMUSG00000026260,1,"[[92439842, 92473860]]",159
ENSMUSG00000026269,1,"[[92910783, 92919852]]",8
ENSMUSG00000026270,1,"[[92934376, 92947535]]",26
ENSMUSG00000026271,1,"[[92950865, 92983488]]",139
ENSMUSG00000026272,1,"[[93135240, 93145164]]",7
ENSMUSG00000026273,1,"[[93301381, 93305915]]",13
ENSMUSG00000026274,1,"[[93310095, 93343482]]",134
ENSMUSG00000026275,1,"[[93342854, 93365063]]",97
ENSMUSG00000026277,1,"[[93622490, 93658659]]",167
ENSMUSG00000026278,1,"[[93685660, 93695159]]",25
ENSMUSG00000026279,1,"[[93705539, 93754780]]",230
ENSMUSG00000026280,1,"[[93751500, 93787756]]",183
ENSMUSG00000026281,1,"[[93792836, 93801934]]",46
ENSMUSG00000026283,1,"[[93803965, 93818320]]",43
ENSMUSG00000026285,1,"[[94039308, 94052553]]",32
ENSMUSG00000026288,1,"[[87620312, 87718284]]",384
ENSMUSG00000026289,1,"[[87755870, 87791306]]",217
ENSMUSG00000026295,1,"[[88406961, 88420665]]",61
ENSMUSG00000026301,1,"[[90042629, 90153401]]",489
ENSMUSG00000026303,1,"[[90915085, 90948606]]",119
ENSMUSG00000026304,1,"[[90958887, 90969661]]",25
ENSMUSG00000026305,1,"[[90998737, 91128193]]",522
ENSMUSG00000026307,1,"[[91298338, 91320227]]",79
ENSMUSG00000026308,1,"[[91351016, 91361263]]",18
ENSMUSG00000026309,1,"[[91373945, 91398793]]",127
ENSMUSG00000026311,1,"[[91540544, 91554875]]",70
ENSMUSG00000026312,1,"[[109982431, 110138352]]",1321
ENSMUSG00000026313,1,"[[91933350, 92180341]]",991
ENSMUSG00000026315,1,"[[107590006, 107607322]]",93
ENSMUSG00000026319,1,"[[105663883, 105753620]]",875
ENSMUSG00000026321,1,"[[105780718, 105844863]]",284
ENSMUSG00000026327,1,"[[107361198, 107380004]]",93
ENSMUSG00000026333,1,"[[97770172, 97792568]]",153
ENSMUSG00000026335,1,"[[97795375, 98095632]]",2225
ENSMUSG00000026339,1,"[[121431049, 121501240]]",280
ENSMUSG00000026341,1,"[[125393998, 125435727]]",351
ENSMUSG00000026342,1,"[[125560595, 125591105]]",208
ENSMUSG00000026343,1,"[[125676995, 125872881]]",953
ENSMUSG00000026344,1,"[[125873339, 125913101]]",193
ENSMUSG00000026347,1,"[[127491603, 127679548]]",843
ENSMUSG00000026348,1,"[[127729413, 127766342]]",205
ENSMUSG00000026349,1,"[[127774164, 127803556]]",234
ENSMUSG00000026353,1,"[[128243964, 128277092]]",279
ENSMUSG00000026354,1,"[[128285122, 128328318]]",144
ENSMUSG00000026355,1,"[[128331938, 128359664]]",169
ENSMUSG00000026356,1,"[[128364237, 128417368]]",492
ENSMUSG00000026357,1,"[[144753815, 144775435]]",211
ENSMUSG00000026358,1,"[[144245305, 144249242]]",36
ENSMUSG00000026360,1,"[[144001683, 144004161]]",15
ENSMUSG00000026361,1,"[[143608524, 143702893]]",926
ENSMUSG00000026365,1,"[[140086329, 140183411]]",718
ENSMUSG00000026368,1,"[[139501702, 139523424]]",181
ENSMUSG00000026374,1,"[[118300807, 118311416]]",73
ENSMUSG00000026377,1,"[[118321839, 118332938]]",49
ENSMUSG00000026380,1,"[[118627946, 118677431]]",216
ENSMUSG00000026383,1,"[[119549132, 119649000]]",738
ENSMUSG00000026384,1,"[[119659834, 119837613]]",1493
ENSMUSG00000026385,1,"[[120113463, 120121078]]",24
ENSMUSG00000026387,1,"[[120006894, 120063279]]",199
ENSMUSG00000026388,1,"[[120121187, 120188181]]",333
ENSMUSG00000026389,1,"[[120190757, 120272705]]",312
ENSMUSG00000026390,1,"[[120474662, 120505024]]",92
ENSMUSG00000026393,1,"[[138487003, 138620141]]",941
ENSMUSG00000026394,1,"[[138273738, 138287957]]",112
ENSMUSG00000026395,1,"[[138064509, 138175306]]",819
ENSMUSG00000026398,1,"[[136845466, 136960448]]",698
ENSMUSG00000026399,1,"[[130440315, 130462744]]",176
ENSMUSG00000026404,1,"[[136415271, 136440013]]",149
ENSMUSG00000026407,1,"[[136052750, 136119127]]",185
ENSMUSG00000026409,1,"[[130691086, 130729253]]",188
ENSMUSG00000026411,1,"[[136008150, 136034217]]",95
ENSMUSG00000026413,1,"[[135875633, 135919207]]",134
ENSMUSG00000026414,1,"[[135836354, 135852069]]",33
ENSMUSG00000026415,1,"[[130800902, 130814650]]",67
ENSMUSG00000026416,1,"[[130907418, 130911451]]",11
ENSMUSG00000026417,1,"[[130826684, 130850893]]",104
ENSMUSG00000026418,1,"[[135783065, 135809730]]",90
ENSMUSG00000026420,1,"[[130882458, 130887454]]",10
ENSMUSG00000026421,1,"[[135720061, 135751117]]",113
ENSMUSG00000026424,1,"[[135160883, 135167681]]",26
ENSMUSG00000026425,1,"[[131289360, 131527347]]",1522
ENSMUSG00000026426,1,"[[135146824, 135155268]]",30
ENSMUSG00000026427,1,"[[131153181, 131178638]]",103
ENSMUSG00000026429,1,"[[134962565, 134973943]]",89
ENSMUSG00000026430,1,"[[131178528, 131245258]]",204
ENSMUSG00000026432,1,"[[131599239, 131609742]]",44
ENSMUSG00000026433,1,"[[131867224, 131872577]]",29
ENSMUSG00000026434,1,"[[131910534, 131931203]]",182
ENSMUSG00000026435,1,"[[131962967, 131981725]]",39
ENSMUSG00000026436,1,"[[132007607, 132023648]]",103
ENSMUSG00000026437,1,"[[132114939, 132139684]]",45
ENSMUSG00000026439,1,"[[132477365, 132503789]]",191
ENSMUSG00000026442,1,"[[132570423, 132741797]]",569
ENSMUSG00000026443,1,"[[132880273, 132939388]]",157
ENSMUSG00000026447,1,"[[133045667, 133106155]]",168
ENSMUSG00000026450,1,"[[134111242, 134151376]]",183
ENSMUSG00000026452,1,"[[134646677, 134747678]]",324
ENSMUSG00000026455,1,"[[134455531, 134489455]]",216
ENSMUSG00000026456,1,"[[134405781, 134411076]]",14
ENSMUSG00000026457,1,"[[134415378, 134431655]]",77
ENSMUSG00000026458,1,"[[134298782, 134332928]]",87
ENSMUSG00000026459,1,"[[134289989, 134291792]]",2
ENSMUSG00000026463,1,"[[133701642, 133701881], [133706694, 133801041]]",356
ENSMUSG00000026466,1,"[[156006928, 156036480]]",199
ENSMUSG00000026468,1,"[[155702225, 155751684]]",180
ENSMUSG00000026469,1,"[[155281013, 155417415]]",1033
ENSMUSG00000026470,1,"[[155158715, 155207238]]",263
ENSMUSG00000026471,1,"[[155129270, 155146783]]",84
ENSMUSG00000026473,1,"[[153899944, 153908179]]",33
ENSMUSG00000026475,1,"[[153740349, 153743852]]",9
ENSMUSG00000026478,1,"[[153220059, 153332786]]",602
ENSMUSG00000026479,1,"[[153124033, 153186447]]",287
ENSMUSG00000026480,1,"[[152800194, 152836111]]",149
ENSMUSG00000026482,1,"[[152519012, 152766351]]",1339
ENSMUSG00000026483,1,"[[151571186, 151718343]]",871
ENSMUSG00000026484,1,"[[151458188, 151500955]]",302
ENSMUSG00000026489,1,"[[180167172, 180199602]]",112
ENSMUSG00000026490,1,"[[179960472, 180162163]]",1603
ENSMUSG00000026491,1,"[[179746336, 179803680]]",505
ENSMUSG00000026492,1,"[[179529180, 179546267]]",125
ENSMUSG00000026494,1,"[[178529125, 178932225]]",1844
ENSMUSG00000026495,1,"[[178406103, 178481425]]",525
ENSMUSG00000026496,1,"[[180568929, 180600528]]",122
ENSMUSG00000026497,1,"[[180694622, 180697034]]",4
ENSMUSG00000026499,1,"[[180726043, 180752367]]",193
ENSMUSG00000026500,1,"[[178319130, 178322613]]",28
ENSMUSG00000026502,1,"[[178187417, 178249465], [178256103, 178256656]]",407
ENSMUSG00000026504,1,"[[176814660, 177020141]]",1210
ENSMUSG00000026509,1,"[[182468215, 182517524]]",158
ENSMUSG00000026510,1,"[[182409172, 182461725]]",369
ENSMUSG00000026511,1,"[[182124737, 182131452]]",38
ENSMUSG00000026514,1,"[[181352628, 181459249]]",370
ENSMUSG00000026516,1,"[[181093868, 181144204]]",367
ENSMUSG00000026519,1,"[[180942344, 180974333]]",102
ENSMUSG00000026520,1,"[[180904293, 180907639]]",9
ENSMUSG00000026523,1,"[[175698593, 175815363]]",666
ENSMUSG00000026525,1,"[[175662894, 175692776]]",203
ENSMUSG00000026526,1,"[[175601427, 175625635]]",184
ENSMUSG00000026527,1,"[[175059747, 175492500]]",2748
ENSMUSG00000026532,1,"[[174172776, 174247454]]",507
ENSMUSG00000026542,1,"[[172894106, 172895041]]",1
ENSMUSG00000026544,1,"[[172631644, 172632962]]",4
ENSMUSG00000026546,1,"[[172521044, 172545750]]",81
ENSMUSG00000026547,1,"[[172500047, 172506705]]",20
ENSMUSG00000026548,1,"[[172475358, 172478256]]",9
ENSMUSG00000026553,1,"[[172082529, 172121756]]",228
ENSMUSG00000026554,1,"[[172148118, 172196891]]",313
ENSMUSG00000026556,1,"[[172004605, 172028444]]",51
ENSMUSG00000026558,1,"[[167226385, 167285320]]",281
ENSMUSG00000026563,1,"[[166379097, 166392717]]",83
ENSMUSG00000026564,1,"[[166098628, 166127922]]",122
ENSMUSG00000026565,1,"[[165875428, 166002678]]",1104
ENSMUSG00000026566,1,"[[165593579, 165634538]]",227
ENSMUSG00000026567,1,"[[165485183, 165576619]]",452
ENSMUSG00000026568,1,"[[165461037, 165480936]]",178
